domain,aus_sid,india_sid,dist,aus_idx,india_idx,mnn
Palaeoproterozoic,WA_PP_2007190003.0,sandmata_25.2592_74.339,0.299,2,12810,True
Palaeoproterozoic,WA_PP_2007191253.0,sandmata_25.5634_74.6892,0.344,1015,13395,True
Palaeoproterozoic,WA_PP_2007190966.0,sandmata_25.458_74.669,0.347,792,13673,True
Palaeoproterozoic,WA_PP_2007190213.0,sandmata_25.5269_74.4559,0.365,177,12647,True
Palaeoproterozoic,WA_PP_2007190541.0,sandmata_25.2592_74.359,0.367,450,12811,True
Palaeoproterozoic,WA_PP_2007191419.0,sandmata_25.2255_74.32,0.398,1157,13147,True
Palaeoproterozoic,WA_PP_2007191192.0,sandmata_25.7087_74.8992,0.405,963,14216,True
Palaeoproterozoic,WA_PP_2007191503.0,sandmata_25.2255_74.4,0.418,1226,13151,True
Palaeoproterozoic,WA_PP_2007191003.0,sandmata_25.44_74.669,0.43,822,13661,True
Palaeoproterozoic,WA_PP_2007191392.0,sandmata_25.5811_74.8992,0.445,1133,14126,True
Archaean,Y+N_2007190230.0,mangalwar_26.5274_75.5,0.248,193,17845,True
Archaean,Y+N_2007190973.0,mangalwar_25.6906_74.4559,0.415,799,12764,True
Archaean,Y+N_2007190287.0,mangalwar_26.0272_74.84,0.433,239,11549,True
Archaean,Y+N_2007191335.0,mangalwar_26.1358_75.25,0.438,1084,17559,True
Archaean,Y+N_2007190855.0,mangalwar_24.0632_73.8576,0.454,705,8729,True
Archaean,Y+N_2007190039.0,mangalwar_24.0808_73.8772,0.566,31,8743,True
Archaean,Y+N_2007191462.0,mangalwar_26.0996_75.17,0.574,1194,17529,True
Archaean,Y+N_2007191159.0,mangalwar_25.4217_74.339,0.593,940,12927,True
Archaean,Y+N_2007190244.0,mangalwar_26.74_75.88,0.647,205,19396,True
Archaean,Y+N_2007190914.0,mangalwar_26.045_74.7308,0.659,752,10859,True
