lat,lon,catchment_km2,pct_in_domain
26.563,75.53,104.8,100.0
26.74,75.9,107.8,100.0
26.6156,75.9,409.8,100.0
26.6156,75.92,409.8,100.0
26.6156,75.94,409.8,100.0
26.6156,75.96,409.8,100.0
26.7833,75.7417,235.7,100.0
26.7839,75.7222,166.7,100.0
26.7707,75.7064,166.7,100.0
26.7794,75.695,166.7,100.0
26.6156,75.98,409.8,100.0
26.6333,75.76,166.7,100.0
26.6333,75.78,166.7,100.0
26.6333,75.8,128.2,100.0
26.6333,75.82,128.2,100.0
26.7778,75.6472,154.6,100.0
26.7778,75.6472,154.6,100.0
26.7807,75.6219,154.6,100.0
26.7716,75.6177,154.6,100.0
26.7811,75.5877,154.6,100.0
26.7667,75.7442,235.7,100.0
26.7622,75.7278,166.7,100.0
26.7639,75.7036,166.7,100.0
26.7642,75.6978,166.7,100.0
26.7665,75.6629,154.6,100.0
26.6156,75.88,128.2,100.0
26.6156,75.86,128.2,100.0
26.6156,75.84,128.2,100.0
26.7883,75.7417,235.7,100.0
26.58,75.9,128.2,100.0
26.58,75.92,409.8,100.0
26.58,75.94,409.8,100.0
26.58,75.96,409.8,100.0
26.58,75.98,409.8,100.0
26.5978,75.76,166.7,100.0
26.5978,75.8,128.2,100.0
26.5978,75.82,128.2,100.0
26.5978,75.84,128.2,100.0
26.5978,75.86,128.2,100.0
26.5978,75.88,128.2,100.0
26.6156,75.82,128.2,100.0
26.5978,75.9,409.8,100.0
26.5978,75.92,409.8,100.0
26.5978,75.94,409.8,100.0
26.5978,75.96,409.8,100.0
26.7988,75.7488,235.7,100.0
26.7937,75.7147,166.7,100.0
26.5978,75.98,409.8,100.0
26.6156,75.76,166.7,100.0
26.6156,75.78,166.7,100.0
26.6156,75.8,128.2,100.0
26.7649,75.6472,154.6,100.0
26.7621,75.6238,154.6,100.0
26.7618,75.6058,154.6,100.0
25.8675,74.7453,111.5,100.0
25.7952,74.6101,211.1,100.0
25.7952,74.6301,211.1,100.0
25.8133,74.5101,211.1,100.0
25.8133,74.5301,211.1,100.0
25.8133,74.5501,211.1,100.0
25.8494,74.7302,111.5,100.0
25.8675,74.6702,111.5,100.0
25.8675,74.6902,111.5,100.0
25.8675,74.7102,111.5,100.0
25.8675,74.7302,111.5,100.0
26.2076,75.26,234.1,100.0
25.7952,74.5701,211.1,100.0
25.8856,74.6502,111.5,100.0
25.8856,74.6702,111.5,100.0
25.8856,74.6902,111.5,100.0
25.8856,74.7102,111.5,100.0
25.8856,74.7302,111.5,100.0
25.8856,74.7453,111.5,100.0
25.9037,74.6502,111.5,100.0
25.9037,74.6702,111.5,100.0
25.9037,74.6902,111.5,100.0
25.9037,74.7102,111.5,100.0
25.7952,74.5901,211.1,100.0
25.7952,74.5501,211.1,100.0
26.7665,75.5977,154.6,100.0
25.759,74.5301,211.1,100.0
26.2437,75.4967,326.3,100.0
26.2437,75.46,326.3,100.0
26.2437,75.44,326.3,100.0
26.2437,75.3,234.1,100.0
26.2437,75.28,234.1,100.0
26.2437,75.26,234.1,100.0
26.2257,75.44,326.3,100.0
26.2257,75.28,234.1,100.0
26.2257,75.26,234.1,100.0
25.759,74.5101,211.1,100.0
25.759,74.5501,211.1,100.0
25.7952,74.5301,211.1,100.0
25.759,74.5701,211.1,100.0
25.759,74.5901,211.1,100.0
25.7771,74.5101,211.1,100.0
25.7771,74.5301,211.1,100.0
25.7771,74.5501,211.1,100.0
25.7771,74.5701,211.1,100.0
25.7771,74.5901,211.1,100.0
25.7771,74.6101,211.1,100.0
25.7771,74.6301,211.1,100.0
25.7952,74.5101,211.1,100.0
26.58,75.88,128.2,100.0
26.58,75.86,128.2,100.0
26.58,75.84,128.2,100.0
25.4217,74.379,158.3,100.0
25.4036,74.399,158.3,100.0
25.4036,74.419,158.3,100.0
25.4036,74.439,128.9,100.0
25.4036,74.459,128.9,100.0
25.4036,74.479,128.9,100.0
25.4036,74.495,128.9,100.0
25.4217,74.3,158.3,100.0
25.4217,74.32,158.3,100.0
25.4217,74.339,158.3,100.0
25.4217,74.359,158.3,100.0
25.4217,74.399,158.3,100.0
25.4036,74.359,158.3,100.0
25.4217,74.419,128.9,100.0
25.4217,74.439,128.9,100.0
25.4217,74.459,128.9,100.0
25.4217,74.479,128.9,100.0
25.4217,74.495,128.9,100.0
25.4397,74.3,158.3,100.0
25.4397,74.32,158.3,100.0
25.4397,74.339,158.3,100.0
25.4397,74.359,158.3,100.0
25.4397,74.379,158.3,100.0
25.4036,74.379,158.3,100.0
25.4036,74.339,158.3,100.0
25.4397,74.419,128.9,100.0
26.5267,75.88,128.2,100.0
25.76,75.4,176.5,100.0
26.5089,75.88,156.5,100.0
26.5089,75.9,156.5,100.0
26.5089,75.92,211.1,100.0
25.3675,74.32,158.3,100.0
25.3675,74.339,158.3,100.0
25.3675,74.359,158.3,100.0
25.3675,74.379,158.3,100.0
25.3675,74.459,158.3,100.0
26.5267,75.86,128.2,100.0
25.3855,74.32,158.3,100.0
25.4036,74.32,158.3,100.0
25.3855,74.339,158.3,100.0
25.3855,74.359,158.3,100.0
25.3855,74.379,158.3,100.0
25.3855,74.399,158.3,100.0
25.3855,74.419,158.3,100.0
25.3855,74.439,158.3,100.0
25.3855,74.459,128.9,100.0
26.5267,75.9,128.2,100.0
26.8497,75.7436,166.7,100.0
26.8507,75.7228,166.7,100.0
25.4397,74.399,128.9,100.0
25.4397,74.439,128.9,100.0
26.58,75.82,128.2,100.0
26.5444,75.86,128.2,100.0
25.4936,74.339,134.7,100.0
25.4936,74.359,134.7,100.0
25.4936,74.379,134.7,100.0
25.4936,74.399,128.9,100.0
25.4936,74.419,128.9,100.0
25.4936,74.439,128.9,100.0
26.8243,75.7453,235.7,100.0
26.8271,75.7404,166.7,100.0
26.8411,75.7177,166.7,100.0
26.5444,75.84,128.2,100.0
26.5444,75.88,128.2,100.0
25.4936,74.3,134.7,100.0
26.5444,75.9,128.2,100.0
26.8216,75.7439,235.7,100.0
26.8047,75.7253,166.7,100.0
26.5622,75.8,128.2,100.0
26.5622,75.82,128.2,100.0
26.5622,75.84,128.2,100.0
26.5622,75.86,128.2,100.0
26.5622,75.88,128.2,100.0
26.5622,75.9,128.2,100.0
26.58,75.8,128.2,100.0
25.4936,74.32,134.7,100.0
25.4936,74.28,134.7,100.0
25.4397,74.459,128.9,100.0
25.4578,74.459,128.9,100.0
25.4397,74.479,128.9,100.0
25.4397,74.495,128.9,100.0
25.4578,74.3,158.3,100.0
25.4578,74.32,158.3,100.0
25.4578,74.339,158.3,100.0
25.4578,74.359,158.3,100.0
25.4578,74.379,128.9,100.0
25.4578,74.399,128.9,100.0
25.4578,74.419,128.9,100.0
25.4578,74.439,128.9,100.0
25.4578,74.479,128.9,100.0
25.4936,74.26,134.7,100.0
25.4758,74.28,158.3,100.0
25.4758,74.3,158.3,100.0
25.4758,74.32,158.3,100.0
25.4758,74.339,158.3,100.0
25.4758,74.359,158.3,100.0
25.4758,74.379,128.9,100.0
25.4758,74.399,128.9,100.0
25.4758,74.419,128.9,100.0
25.4758,74.439,128.9,100.0
25.4758,74.459,128.9,100.0
25.9037,74.7302,111.5,100.0
25.9037,74.7453,111.5,100.0
26.1715,75.26,228.1,100.0
26.6511,75.92,235.7,100.0
26.0272,74.82,190.8,100.0
26.0272,74.8,190.8,100.0
26.0272,74.78,190.8,100.0
26.0272,74.76,190.8,100.0
26.6511,75.86,235.7,100.0
25.49,75.03,129.0,100.0
25.49,75.01,305.7,100.0
25.48,75.01,305.7,100.0
26.6511,75.88,235.7,100.0
26.6511,75.9,235.7,100.0
25.46,75.01,305.7,100.0
26.0453,74.76,190.8,100.0
26.6511,75.94,107.8,100.0
26.0091,74.84,190.8,100.0
26.0091,74.82,190.8,100.0
26.0091,74.8,190.8,100.0
26.0091,74.78,190.8,100.0
26.0091,74.76,190.8,100.0
26.6511,75.96,107.8,100.0
26.6511,75.98,107.8,100.0
25.44,75.01,305.7,100.0
26.6689,75.76,235.7,100.0
26.0272,74.84,190.8,100.0
26.0453,74.78,190.8,100.0
26.6689,75.8,235.7,100.0
24.4215,73.9971,209.0,100.0
24.4394,73.9971,209.0,100.0
24.4394,73.9774,209.0,100.0
24.4394,73.9574,209.0,100.0
26.0635,74.86,190.8,100.0
26.0635,74.84,190.8,100.0
26.009,75.38,228.1,100.0
26.0635,74.82,190.8,100.0
26.0635,74.8,190.8,100.0
26.0635,74.78,190.8,100.0
26.0635,74.76,190.8,100.0
24.4215,73.9774,209.0,100.0
26.0453,74.8,190.8,100.0
26.0453,74.86,190.8,100.0
26.0453,74.84,190.8,100.0
25.654,74.5499,400.8,100.0
24.4041,73.9971,209.0,100.0
24.4041,73.9774,209.0,100.0
24.4041,73.9574,209.0,100.0
24.3858,73.9971,209.0,100.0
24.3858,73.9774,209.0,100.0
26.0453,74.82,190.8,100.0
24.3677,73.9971,209.0,100.0
26.6689,75.78,235.7,100.0
26.6689,75.82,235.7,100.0
26.0816,74.78,190.8,100.0
26.7222,75.84,235.7,100.0
26.7044,75.86,235.7,100.0
26.7044,75.88,107.8,100.0
26.7044,75.9,107.8,100.0
26.7044,75.92,107.8,100.0
26.7044,75.94,107.8,100.0
26.7044,75.96,107.8,100.0
26.7222,75.76,235.7,100.0
26.7222,75.78,235.7,100.0
26.7222,75.8,235.7,100.0
26.7222,75.82,235.7,100.0
26.7222,75.86,235.7,100.0
26.7044,75.82,235.7,100.0
26.7222,75.88,107.8,100.0
26.7222,75.9,107.8,100.0
26.7222,75.92,107.8,100.0
26.7222,75.94,107.8,100.0
26.74,75.76,235.7,100.0
26.74,75.78,235.7,100.0
26.74,75.8,235.7,100.0
26.74,75.82,235.7,100.0
26.74,75.84,235.7,100.0
26.74,75.86,107.8,100.0
26.7044,75.84,235.7,100.0
26.7044,75.8,235.7,100.0
26.6689,75.84,235.7,100.0
26.6867,75.82,235.7,100.0
26.6689,75.86,235.7,100.0
26.6689,75.88,235.7,100.0
26.6689,75.9,107.8,100.0
26.6689,75.92,107.8,100.0
26.6689,75.94,107.8,100.0
26.6689,75.96,107.8,100.0
26.6689,75.98,107.8,100.0
26.6867,75.76,235.7,100.0
26.6867,75.78,235.7,100.0
26.6867,75.8,235.7,100.0
25.403,74.51,128.9,100.0
26.7044,75.78,235.7,100.0
25.403,74.53,128.9,100.0
26.6867,75.84,235.7,100.0
26.6867,75.86,235.7,100.0
26.6867,75.88,235.7,100.0
26.6867,75.9,107.8,100.0
26.6867,75.92,107.8,100.0
26.6867,75.94,107.8,100.0
26.6867,75.96,107.8,100.0
26.6867,75.98,107.8,100.0
26.7044,75.76,235.7,100.0
26.0816,74.76,190.8,100.0
25.6359,74.5297,400.8,100.0
