lat,lon,catchment_km2,pct_in_domain
25.2436,74.4,271.1,100.0
25.7449,74.9588,737.6,100.0
25.1172,74.3,112.3,100.0
25.1172,74.28,112.3,100.0
25.1172,74.26,112.3,100.0
25.0991,74.36,112.3,100.0
25.0991,74.34,112.3,100.0
25.0991,74.32,112.3,100.0
25.0991,74.3,112.3,100.0
25.7449,74.9931,737.6,100.0
25.7449,74.9787,737.6,100.0
25.7449,74.9389,105.7,100.0
25.1172,74.34,112.3,100.0
25.7449,74.9191,105.7,100.0
25.7449,74.8992,105.7,100.0
25.7449,74.8793,105.7,100.0
25.7449,74.8594,105.7,100.0
25.7449,74.8395,105.7,100.0
25.7449,74.8196,105.7,100.0
25.494,74.53,109.7,100.0
25.494,74.55,109.7,100.0
25.494,74.57,109.7,100.0
25.1172,74.32,112.3,100.0
25.1352,74.26,112.3,100.0
25.1894,74.28,112.3,100.0
25.1713,74.28,112.3,100.0
25.1713,74.46,271.1,100.0
25.1713,74.44,271.1,100.0
25.1713,74.42,271.1,100.0
25.1713,74.4,271.1,100.0
25.1713,74.38,271.1,100.0
25.1713,74.36,162.6,100.0
25.1713,74.34,162.6,100.0
25.1713,74.32,162.6,100.0
25.1713,74.3,162.6,100.0
25.1713,74.26,112.3,100.0
25.1352,74.28,112.3,100.0
25.1533,74.36,162.6,100.0
25.1533,74.34,112.3,100.0
25.1533,74.32,112.3,100.0
25.1533,74.3,112.3,100.0
25.1533,74.28,112.3,100.0
25.1533,74.26,112.3,100.0
25.1352,74.34,112.3,100.0
25.1352,74.32,112.3,100.0
25.1352,74.3,112.3,100.0
25.7449,74.7997,105.7,100.0
25.7449,74.7798,105.7,100.0
25.7268,74.9931,737.6,100.0
25.6906,74.9389,531.5,100.0
25.494,74.743,231.4,100.0
25.7087,74.8395,531.5,100.0
25.7087,74.8196,531.5,100.0
25.7087,74.7997,531.5,100.0
25.7087,74.7798,531.5,100.0
25.7087,74.7599,204.2,100.0
25.6906,74.9931,660.2,100.0
25.6906,74.9787,660.2,100.0
25.6906,74.9588,515.9,100.0
25.6906,74.9191,531.5,100.0
25.7268,74.9787,737.6,100.0
25.6906,74.8992,531.5,100.0
25.6906,74.8793,531.5,100.0
25.4936,74.495,109.7,100.0
25.4936,74.479,109.7,100.0
25.4936,74.459,109.7,100.0
25.4758,74.495,109.7,100.0
25.4758,74.479,109.7,100.0
25.4578,74.495,109.7,100.0
25.6906,74.8594,531.5,100.0
25.494,74.729,231.4,100.0
25.494,74.709,231.4,100.0
25.494,74.689,231.4,100.0
25.494,74.669,231.4,100.0
25.7268,74.9588,531.5,100.0
25.7268,74.9389,531.5,100.0
25.7268,74.9191,105.7,100.0
25.7268,74.8992,105.7,100.0
25.7268,74.8793,105.7,100.0
25.7268,74.8594,105.7,100.0
25.7268,74.8395,105.7,100.0
25.7268,74.8196,105.7,100.0
25.7268,74.7997,531.5,100.0
25.7268,74.7798,531.5,100.0
25.7268,74.7599,531.5,100.0
25.7087,74.9931,660.2,100.0
25.7087,74.9787,660.2,100.0
25.7087,74.9588,531.5,100.0
25.7087,74.9389,531.5,100.0
25.7087,74.9191,531.5,100.0
25.7087,74.8992,105.7,100.0
25.7087,74.8793,105.7,100.0
25.7087,74.8594,531.5,100.0
25.1894,74.26,112.3,100.0
25.1894,74.3,162.6,100.0
25.6906,74.8196,531.5,100.0
25.476,74.55,109.7,100.0
25.458,74.743,231.4,100.0
25.476,74.51,109.7,100.0
25.476,74.53,109.7,100.0
25.69,75.11,660.2,100.0
25.71,75.01,660.2,100.0
25.71,75.03,660.2,100.0
25.71,75.05,660.2,100.0
25.71,75.07,660.2,100.0
25.71,75.09,660.2,100.0
25.476,74.57,109.7,100.0
25.458,74.709,231.4,100.0
25.71,75.11,660.2,100.0
25.71,75.13,660.2,100.0
25.72,75.01,737.6,100.0
25.72,75.03,660.2,100.0
25.476,74.669,231.4,100.0
25.72,75.05,660.2,100.0
25.72,75.07,660.2,100.0
25.72,75.09,660.2,100.0
25.72,75.11,660.2,100.0
25.458,74.729,231.4,100.0
25.458,74.689,231.4,100.0
25.1894,74.32,162.6,100.0
25.65,75.05,660.2,100.0
25.458,74.59,109.7,100.0
25.6,75.01,515.9,100.0
25.62,75.01,660.2,100.0
25.62,75.03,660.2,100.0
25.64,75.01,660.2,100.0
25.64,75.03,660.2,100.0
25.64,75.05,660.2,100.0
25.65,75.01,660.2,100.0
25.65,75.03,660.2,100.0
25.67,75.01,660.2,100.0
25.458,74.669,231.4,100.0
25.67,75.03,660.2,100.0
25.67,75.05,660.2,100.0
25.67,75.07,660.2,100.0
25.67,75.09,660.2,100.0
25.69,75.01,660.2,100.0
25.69,75.03,660.2,100.0
25.69,75.05,660.2,100.0
25.69,75.07,660.2,100.0
25.69,75.09,660.2,100.0
25.72,75.13,660.2,100.0
25.74,75.01,737.6,100.0
25.74,75.03,737.6,100.0
25.2074,74.34,162.6,100.0
25.2255,74.32,162.6,100.0
25.2255,74.3,162.6,100.0
25.2255,74.28,162.6,100.0
25.2255,74.26,162.6,100.0
25.2074,74.44,271.1,100.0
25.2074,74.42,271.1,100.0
25.2074,74.4,271.1,100.0
25.2074,74.38,271.1,100.0
25.2074,74.36,162.6,100.0
25.2074,74.32,162.6,100.0
25.476,74.689,231.4,100.0
25.2074,74.3,162.6,100.0
25.2074,74.28,162.6,100.0
25.2074,74.26,112.3,100.0
25.1894,74.44,271.1,100.0
25.1894,74.42,271.1,100.0
25.1894,74.4,271.1,100.0
25.1894,74.38,271.1,100.0
25.1894,74.36,162.6,100.0
25.1894,74.34,162.6,100.0
25.2255,74.34,162.6,100.0
25.2255,74.36,162.6,100.0
25.2255,74.38,271.1,100.0
25.2255,74.4,271.1,100.0
25.476,74.709,231.4,100.0
25.476,74.729,231.4,100.0
25.476,74.743,231.4,100.0
25.494,74.51,109.7,100.0
25.74,75.05,737.6,100.0
25.74,75.07,737.6,100.0
25.74,75.09,737.6,100.0
25.74,75.11,737.6,100.0
25.2436,74.42,271.1,100.0
25.545,74.4944,116.6,100.0
25.2436,74.38,271.1,100.0
25.2436,74.36,271.1,100.0
25.2436,74.34,162.6,100.0
25.2436,74.32,162.6,100.0
25.2436,74.3,162.6,100.0
25.2436,74.28,162.6,100.0
25.2436,74.26,162.6,100.0
25.2255,74.44,271.1,100.0
25.2255,74.42,271.1,100.0
25.6906,74.8395,531.5,100.0
25.6906,74.7997,531.5,100.0
25.4217,74.76,231.4,100.0
25.5269,74.8395,231.4,100.0
25.545,74.8594,136.8,100.0
25.545,74.8395,136.8,100.0
25.545,74.8196,136.8,100.0
25.545,74.7997,136.8,100.0
25.545,74.7798,136.8,100.0
25.545,74.7599,136.8,100.0
25.5269,74.8992,231.4,100.0
25.5269,74.8793,231.4,100.0
25.5269,74.8594,231.4,100.0
25.5269,74.8196,231.4,100.0
25.545,74.8992,231.4,100.0
25.5269,74.7997,231.4,100.0
25.759,74.7997,105.7,100.0
25.759,74.8196,105.7,100.0
25.759,74.8395,105.7,100.0
25.5269,74.7798,231.4,100.0
25.5269,74.7599,231.4,100.0
25.5089,74.8594,231.4,100.0
25.759,74.8594,105.7,100.0
25.759,74.8793,105.7,100.0
25.545,74.8793,231.4,100.0
25.545,74.9191,515.9,100.0
25.5811,74.9588,515.9,100.0
25.563,74.9588,515.9,100.0
25.5811,74.9191,515.9,100.0
25.5811,74.8992,515.9,100.0
25.5811,74.8793,136.8,100.0
25.5811,74.8594,136.8,100.0
25.5811,74.8395,136.8,100.0
25.5811,74.8196,136.8,100.0
25.5811,74.7997,136.8,100.0
25.5811,74.7798,136.8,100.0
25.5811,74.7599,531.5,100.0
25.563,74.9389,515.9,100.0
25.545,74.9389,515.9,100.0
25.563,74.9191,515.9,100.0
25.563,74.8992,136.8,100.0
25.563,74.8793,136.8,100.0
25.563,74.8594,136.8,100.0
25.563,74.8395,136.8,100.0
25.563,74.8196,136.8,100.0
25.563,74.7997,136.8,100.0
25.563,74.7798,136.8,100.0
25.563,74.7599,136.8,100.0
25.759,74.8992,105.7,100.0
25.759,74.9191,105.7,100.0
25.759,74.9389,105.7,100.0
25.563,74.4944,116.6,100.0
25.9757,74.9787,185.9,100.0
25.9757,74.9588,185.9,100.0
25.9757,74.9389,185.9,100.0
25.9757,74.9191,185.9,100.0
25.9576,74.9931,185.9,100.0
25.9576,74.9787,185.9,100.0
25.9576,74.9588,185.9,100.0
25.9576,74.9389,185.9,100.0
25.9396,74.9931,199.0,100.0
25.9396,74.9787,199.0,100.0
25.759,74.9588,737.6,100.0
25.9215,74.9931,199.0,100.0
25.7951,74.9787,737.6,100.0
25.9035,74.9931,199.0,100.0
25.5089,74.4559,116.6,100.0
25.5089,74.4755,109.7,100.0
