SITEID,LAT,LON
2007190001.0,-12.6551,142.2717
2007190002.0,-13.1195,141.9851
2007190003.0,-22.7017,114.8976
2007190004.0,-22.7363,116.122
2007190005.0,-27.8225,153.0022
2007190007.0,-24.1167,118.3824
2007190009.0,-29.5469,148.5809
2007190010.0,-17.1653,131.413
2007190011.0,-28.3459,146.8424
2007190012.0,-22.9801,145.2473
2007190013.0,-25.8488,135.2452
2007190014.0,-35.7518,143.6603
2007190015.0,-23.5343,149.7069
2007190016.0,-30.8569,119.9266
2007190017.0,-20.7195,120.9245
2007190018.0,-30.9634,118.7959
2007190019.0,-34.876,150.4985
2007190021.0,-27.641,142.781
2007190022.0,-29.1282,149.0005
2007190023.0,-22.874,138.7608
2007190024.0,-16.8116,122.8996
2007190025.0,-22.3121,149.4741
2007190028.0,-31.8126,123.8542
2007190029.0,-31.1569,125.6804
2007190031.0,-30.1907,147.7138
2007190032.0,-38.0882,144.2791
2007190033.0,-24.997,131.4607
2007190034.0,-24.1443,118.4823
2007190035.0,-20.402,147.3506
2007190036.0,-26.3152,143.1686
2007190038.0,-19.8299,135.394
2007190039.0,-27.533,115.2171
2007190041.0,-20.6387,142.6312
2007190042.0,-38.0123,143.6445
2007190043.0,-31.6369,124.9322
2007190044.0,-23.3485,141.51
2007190048.0,-21.7283,117.2566
2007190050.0,-20.5204,118.4963
2007190051.0,-27.0168,149.6649
2007190052.0,-34.0724,119.5498
2007190053.0,-33.6715,148.5422
2007190054.0,-33.3062,139.7598
2007190055.0,-14.6521,132.018
2007190056.0,-35.9834,144.9326
2007190057.0,-31.3628,143.5746
2007190058.0,-34.9353,117.4727
2007190059.0,-30.9478,136.0354
2007190062.0,-32.0996,144.2191
2007190063.0,-19.7679,129.3222
2007190064.0,-37.9818,147.4098
2007190065.0,-19.2409,139.96
2007190066.0,-20.3197,119.2589
2007190067.0,-31.2341,121.962
2007190068.0,-33.4863,148.2703
2007190069.0,-21.444,145.8212
2007190070.0,-26.7597,137.5204
2007190071.0,-32.0515,118.1664
2007190072.0,-27.7109,137.6583
2007190073.0,-32.5727,118.4508
2007190074.0,-26.7486,134.4646
2007190075.0,-23.7772,117.8137
2007190076.0,-21.771,115.4063
2007190077.0,-29.7312,149.3184
2007190078.0,-33.5409,144.3757
2007190079.0,-24.504,139.5956
2007190081.0,-21.1095,134.4924
2007190082.0,-31.4679,129.313
2007190083.0,-30.2768,147.5613
2007190084.0,-23.9438,137.2762
2007190086.0,-32.7609,115.906
2007190087.0,-20.5724,148.6051
2007190089.0,-22.422,148.6949
2007190090.0,-35.4773,141.9897
2007190091.0,-25.8903,147.8174
2007190092.0,-25.6875,150.9716
2007190093.0,-35.3891,143.072
2007190094.0,-25.7027,135.7782
2007190095.0,-28.8014,133.5324
2007190096.0,-17.0445,134.0173
2007190097.0,-28.7457,124.032
2007190098.0,-27.6871,136.8315
2007190099.0,-12.7712,130.7451
2007190101.0,-31.6287,115.7298
