Pair	Domain	India lat	India lon	NGSA site	NGSA sample
1	Palaeoproterozoic	25.259	74.339	2007190003	2007190003001 Bulk
2	Palaeoproterozoic	25.563	74.689	2007191253	2007191253001 Bulk
3	Palaeoproterozoic	25.458	74.669	2007190966	2007190966001 Bulk
4	Palaeoproterozoic	25.527	74.456	2007190213	2007190213001 Bulk
5	Palaeoproterozoic	25.259	74.359	2007190541	2007190541001 Bulk
6	Palaeoproterozoic	25.226	74.320	2007191419	2007191419001 Bulk
7	Palaeoproterozoic	25.709	74.899	2007191192	2007191192001 Bulk
8	Palaeoproterozoic	25.226	74.400	2007191503	2007191503001 Bulk
9	Palaeoproterozoic	25.440	74.669	2007191003	2007191003001 Bulk
10	Palaeoproterozoic	25.581	74.899	2007191392	2007191392001 Bulk
11	Archaean	26.527	75.500	2007190230	2007190230001 Bulk
12	Archaean	25.691	74.456	2007190973	2007190973001 Bulk
13	Archaean	26.027	74.840	2007190287	2007190287001 Bulk
14	Archaean	26.136	75.250	2007191335	2007191335001 Bulk
15	Archaean	24.063	73.858	2007190855	2007190855001 Bulk
16	Archaean	24.081	73.877	2007190039	2007190039001 Bulk
17	Archaean	26.100	75.170	2007191462	2007191462001 Bulk
18	Archaean	25.422	74.339	2007191159	2007191159001 Bulk
19	Archaean	26.740	75.880	2007190244	2007190244001 Bulk
20	Archaean	26.045	74.731	2007190914	2007190914001 Bulk
