Variable	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
Si (ppm)	358084.5	311475.0	316525.5	359910.0	299012.0	325736.0	309407.5	320311.5	332681.5	326897.0	304247.0	274032.0	213026.5	264165.5	277322.0	319673.5	310622.5	359884.0	248764.0	293973.5
Ti (ppm)	4449.5	6490.5	4698.5	4587.5	6607.5	7146.5	5064.5	5687.0	5837.5	5735.0	9834.5	4524.5	5705.0	3554.0	5678.5	4582.0	3683.0	3739.5	5079.0	5879.5
Al (ppm)	51035.0	57532.0	69873.0	50201.5	78963.5	58228.0	71670.0	64881.5	49010.5	67430.0	76476.0	102462.0	91209.0	88226.5	102726.5	75875.0	67946.0	52604.5	100300.0	81665.5
Fe (ppm)	33431.5	68181.0	37547.0	33519.0	48440.5	45027.0	42118.0	50531.5	45559.0	41985.0	56204.0	53193.0	46041.5	40383.5	55515.0	43289.5	38932.0	34141.0	55137.5	62537.0
Mn (ppm)	507.5	747.5	534.5	519.0	670.0	635.5	542.5	604.0	654.5	557.5	1014.5	565.5	333.0	422.0	848.0	577.0	523.0	290.5	658.0	817.0
Mg (ppm)	4287.5	8813.0	5231.0	4218.0	7643.0	7194.0	7320.5	5222.0	7908.5	6238.0	4748.5	5381.5	29815.5	8966.5	1881.5	5104.5	9337.5	5544.5	17716.5	5852.0
Ca (ppm)	4888.5	7665.0	8065.5	4995.5	7036.0	9016.0	9734.5	12725.0	11717.5	7032.5	2401.5	2866.0	8205.0	19475.5	1182.5	2548.0	8394.0	1761.5	4871.0	6268.0
Na (ppm)	5905.5	2960.5	5760.5	5749.5	6955.5	6573.5	7445.0	7923.5	4696.0	6792.0	2040.0	1079.5	19805.0	1001.5	1020.5	2437.0	4151.0	2645.0	2010.5	4050.5
K (ppm)	18370.0	15273.5	22711.5	18200.0	17826.5	17258.0	19574.0	18959.5	15481.5	15365.5	10488.5	10488.0	25405.0	10671.0	11945.5	16083.5	16357.0	12140.5	11534.5	11683.5
P (ppm)	316.0	371.0	303.0	312.0	362.5	395.0	536.5	508.5	397.0	344.5	277.0	332.0	349.0	242.0	489.0	353.5	251.0	251.0	294.5	449.5
Sc (ppm)	11.00	14.00	13.20	11.65	17.10	14.00	12.90	11.95	11.05	12.95	14.65	15.60	16.75	14.00	18.80	16.00	12.30	9.85	17.20	19.20
V (ppm)	73.20	144.6	74.05	77.30	120.5	118.3	102.2	102.6	115.9	94.15	180.4	113.8	105.8	94.10	132.4	113.8	104.9	84.30	119.8	156.8
Cr (ppm)	56.20	125.5	50.70	61.55	91.80	75.15	81.70	75.10	67.25	79.15	141.1	191.6	108.8	110.3	203.5	115.2	124.1	139.4	149.3	258.3
Co (ppm)	8.90	17.75	14.70	9.00	13.55	12.15	11.85	10.85	13.95	10.30	18.05	16.95	18.05	13.75	22.60	13.60	12.20	7.70	18.65	26.90
Ni (ppm)	19.00	40.05	22.25	20.70	29.75	25.75	23.40	19.80	24.90	25.45	35.85	54.50	42.30	35.95	51.30	33.30	33.15	22.30	54.70	78.30
Cu (ppm)	21.20	40.40	26.55	21.10	29.95	28.15	26.55	19.60	26.85	20.95	25.85	40.40	37.75	33.70	46.60	30.05	28.60	23.35	39.65	67.20
Zn (ppm)	39.25	81.50	55.85	41.90	52.80	51.60	56.45	45.40	60.90	45.75	50.95	62.15	53.70	64.80	83.80	60.70	50.80	38.45	67.40	76.00
Ga (ppm)	11.60	15.25	17.60	13.15	18.60	16.25	17.20	14.70	12.10	14.70	17.55	23.35	20.35	20.95	25.00	19.20	17.90	14.00	23.80	19.25
Rb (ppm)	101.0	87.60	153.5	101.7	99.85	96.40	101.1	98.05	96.90	87.60	63.60	76.30	120.5	65.85	85.40	98.95	86.60	53.65	81.60	81.75
Sr (ppm)	79.40	60.20	89.60	86.40	97.15	111.2	109.2	140.9	63.35	83.85	47.20	46.95	88.85	49.85	47.40	68.85	91.85	40.55	62.85	61.10
Y (ppm)	24.95	28.20	37.55	29.00	46.70	35.85	30.50	35.35	30.40	37.05	27.10	23.75	31.90	18.25	23.15	25.30	19.55	14.65	18.30	30.35
Zr (ppm)	438.7	276.2	395.9	507.4	1022.7	649.2	426.1	579.0	355.4	652.9	301.8	192.3	160.7	154.9	267.1	355.1	387.2	235.1	163.9	312.0
